title,IMDBScore
1922,6.3
"A Tale of Two Kitchens",6.3
"Alex Strangelove",6.3
Apostle,6.3
Benji,6.3
Bright,6.3
Cargo,6.3
"Concrete Cowboy",6.3
"Feel the Beat",6.3
"Get the Goat",6.3
"I Am Not an Easy Man",6.3
"June & Kopi",6.3
"Music Teacher",6.3
"Nail Bomber: Manhunt",6.3
"Notes for My Son",6.3
Polar,6.3
"Porta dos Fundos: The Last Hangover",6.3
"Sand Castle",6.3
"Shimmer Lake",6.3
Spectral,6.3
"The Babysitter",6.3
"The Discovery",6.3
"The Forest of Love",6.3
"The Laundromat",6.3
"The Legend of Cocaine Island",6.3
"The Outsider",6.3
"Time to Hunt",6.3
"To All the Boys: Always and Forever",6.3
"Travis Scott: Look Mom I Can Fly",6.3
Uncorked,6.3
"Anelka: Misunderstood",6.4
"Ariana Grande: Excuse Me, I Love You",6.4
ARQ,6.4
Birders,6.4
"Como CaÃ­do del Cielo",6.4
"First Match",6.4
Fractured,6.4
"Irreplaceable You",6.4
"Isi & Ossi",6.4
"John Was Trying to Contact Aliens",6.4
"Layla Majnun",6.4
"Murder to Mercy: The Cyntoia Brown Story",6.4
"My Own Man",6.4
"Nappily Ever After",6.4
"Over the Moon",6.4
"Street Flow",6.4
"Strong Island",6.4
"Sturgill Simpson Presents: Sound & Fury",6.4
"Take Your Pills",6.4
"The Heartbreak Club",6.4
"The Mars Generation",6.4
"The Occupant",6.4
"The Willoughbys",6.4
"Triple Frontier",6.4
"Two Catalonias",6.4
"Walk. Ride. Rodeo.",6.4
Wheelman,6.4
"When We First Met",6.4
"A 3 Minute Hug",6.5
"All the Bright Places",6.5
"All Together Now",6.5
"Altered Carbon: Resleeved",6.5
"Antoine Griezmann: The Making of a Legend",6.5
Canvas,6.5
"Chadwick Boseman: Portrait of an Artist",6.5
Chopsticks,6.5
"Da 5 Bloods",6.5
"Dolly Parton: A MusiCares Tribute",6.5
"Eurovision Song Contest: The Story of Fire Saga",6.5
"Gerald's Game",6.5
"His House",6.5
"Jingle Jangle: A Christmas Journey",6.5
"Life Overtakes Me",6.5
"Lust Stories",6.5
Monster,6.5
"Mowgli: Legend of the Jungle",6.5
"Nobody Knows I'm Here",6.5
"Nobody Speak: Trials of the Free Press",6.5
Oxygen,6.5
"Set It Up",6.5
"The Incredible Jessica James",6.5
Tigertail,6.5
Tramps,6.5
"What Did Jack Do?",6.5
"Bad Trip",6.6
"Bird Box",6.6
Bulbbul,6.6
"Crazy About Her",6.6
"Elisa & Marcela",6.6
"I'll Sleep When I'm Dead",6.6
"I'm Thinking of Ending Things",6.6
"It Takes a Lunatic",6.6
Milestone,6.6
"Recovery Boys",6.6
"ReMastered: Who Killed Jam Master Jay?",6.6
"Shawn Mendes: In Wonder",6.6
"Space Sweepers",6.6
"The American Meme",6.6
"The Angel",6.6
"The Crimes That Bind",6.6
"The Red Sea Diving Resort",6.6
"What Would Sophia Loren Do?",6.6
"A Whisker Away",6.7
"Ajeeb Daastaans",6.7
"Arlo the Alligator Boy",6.7
"Bikram: Yogi, Guru, Predator",6.7
Blame!,6.7
"Blue Miracle",6.7
CounterPunch,6.7
"Crack: Cocaine, Corruption & Conspiracy",6.7
Extraction,6.7
"Giving Voice",6.7
"Hillbilly Elegy",6.7
"Hope Frozen: A Quest to Live Twice",6.7
"Imperial Dreams",6.7
"Just Another Christmas",6.7
"Little Miss Sumo",6.7
"Malcolm & Marie",6.7
"Michael Bolton's Big, Sexy, Valentine's Day Special",6.7
Moxie,6.7
"Night in Paradise",6.7
"Paper Lives",6.7
"Parchis: The Documentary",6.7
Tallulah,6.7
"The Old Guard",6.7
"Tony Robbins: I Am Not Your Guru",6.7
Upstarts,6.7
22-Jul,6.8
"7 aÃ±os",6.8
"A Futile and Stupid Gesture",6.8
"A Life of Speed: The Juan Manuel Fangio Story",6.8
"A Love Song for Latasha",6.8
"All in My Family",6.8
"Always Be My Maybe",6.8
Becoming,6.8
"Brij Mohan Amar Rahe",6.8
Calibre,6.8
"Death to 2020",6.8
"GIMS: On the Record",6.8
"Have a Good Trip: Adventures in Psychedelics",6.8
Heroin(e),6.8
"Mercury 13",6.8
"Saving Capitalism",6.8
"Serious Men",6.8
"The Boys in the Band",6.8
"The Boys in the Band: Something Personal",6.8
"The Life Ahead",6.8
"The Other Side of the Wind",6.8
"The Trader",6.8
"To the Bone",6.8
"Tony Parker: The Final Shot",6.8
"AK vs AK",6.9
"Amanda Knox",6.9
"Bigflo & Oli: Hip Hop Frenzy",6.9
"Biggie: I Got a Story to Tell",6.9
"Cops and Robbers",6.9
"I Don't Feel at Home in This World Anymore",6.9
Laerte-se,6.9
Mank,6.9
"Our Souls at Night",6.9
"Outlaw King",6.9
Pagglait,6.9
"ReMastered: Who Shot the Sheriff?",6.9
"Seeing Allred",6.9
"Spelling the Dream",6.9
"The Claudia Kishi Club",6.9
"The Half of It",6.9
"The Highwaymen",6.9
"The Lonely Island Presents: The Unauthorized Bash Brothers Experience",6.9
"The Meyerowitz Stories (New and Selected)",6.9
"Feminists: What Were They Thinking?",7
"Gaga: Five Foot Two",7
"I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron",7
"Kingdom of Us",7
"Lorena, Light-Footed Woman",7
"Los Tigres del Norte at Folsom Prison",7
"Ma Rainey's Black Bottom",7
"Ma Rainey's Black Bottom: A Legacy Brought to Screen",7
"Operation Varsity Blues: The College Admissions Scandal",7
Pele,7
"ReMastered: Devil at the Crossroads",7
"ReMastered: The Lion's Share",7
"ReMastered: The Miami Showband Massacre",7
Resurface,7
"Rocko's Modern Life: Static Cling",7
"Rose Island",7
"The Christmas Chronicles",7
"The Dirt",7
"The Night Comes for Us",7
"13th: A Conversation with Oprah Winfrey & Ava DuVernay",7.1
"Angela's Christmas",7.1
"Angela's Christmas Wish",7.1
Beats,7.1
"Circus of Books",7.1
"Dance Dreams: Hot Chocolate Nutcracker",7.1
"Derren Brown: Sacrifice",7.1
"El Pepe: A Supreme Life",7.1
"End Game",7.1
Evelyn,7.1
Ferry,7.1
"Grass Is Greener",7.1
"Guillermo Vilas: Settling the Score",7.1
"Joshua: Teenager vs. Superpower",7.1
"Keith Richards: Under the Influence",7.1
"Knock Down the House",7.1
"Loudon Wainwright III: Surviving Twin",7.1
"My Beautiful Broken Brain",7.1
"One of Us",7.1
"Pieces of a Woman",7.1
"Ram Dass, Going Home",7.1
"ReMastered: Tricky Dick & the Man in Black",7.1
"Rooting for Roona",7.1
"The Devil All the Time",7.1
"The Dig",7.1
"The Great Hack",7.1
"The White Tiger",7.1
"To All the Boys I've Loved Before",7.1
"American Murder: The Family Next Door",7.2
"Audrie & Daisy",7.2
"First They Killed My Father",7.2
"Fyre: The Greatest Party That Never Happened",7.2
"Into the Inferno",7.2
"LA Originals",7.2
"Ladies First",7.2
"Love per Square Foot",7.2
Paddleton,7.2
"Private Life",7.2
Seventeen,7.2
Sometimes,7.2
Soni,7.2
"The 40-Year-Old Version",7.2
"The Disciple",7.2
"The Edge of Democracy",7.2
"The King",7.2
"The Road to El Camino: A Breaking Bad Movie",7.2
"The Siege of Jadotville",7.2
Zion,7.2
"Dolemite Is My Name",7.3
"El Camino: A Breaking Bad Movie",7.3
Extremis,7.3
"Father Soldier Son",7.3
"Get Me Roger Stone",7.3
"I'm No Longer Here",7.3
"Mucho Mucho Amor: The Legend of Walter Mercado",7.3
"Octonauts & the Great Barrier Reef",7.3
Okja,7.3
"On My Skin",7.3
"Raat Akeli Hai",7.3
"ReMastered: Massacre at the Stadium",7.3
"ReMastered: The Two Killings of Sam Cooke",7.3
"Secrets of the Saqqara Tomb",7.3
"Sitara: Let Girls Dream",7.3
"Sky Ladder: The Art of Cai Guo-Qiang",7.3
"Team Foxcatcher",7.3
"The Ballad of Buster Scruggs",7.3
"The Death and Life of Marsha P. Johnson",7.3
"The Fundamentals of Caring",7.3
"The Other One: The Long Strange Trip of Bob Weir",7.3
"American Factory",7.4
"Fire in Paradise",7.4
"Long Shot",7.4
"Miss Americana",7.4
"Period. End of Sentence.",7.4
"Shawn Mendes: Live in Concert",7.4
Shirkers,7.4
"The Black Godfather",7.4
"The Irishman: In Conversation",7.4
"The Speed Cubers",7.4
"They'll Love Me When I'm Dead",7.4
Tig,7.4
"Barbra: The Music, The Mem'ries, The Magic!",7.5
"Blackpink: Light Up the Sky",7.5
"City of Joy",7.5
"Dick Johnson Is Dead",7.5
"Homecoming: A Film by Beyonce",7.5
"Invader Zim: Enter the Florpus",7.5
"Joan Didion: The Center Will Not Hold",7.5
"John Mulaney & the Sack Lunch Bunch",7.5
"Reversing Roe",7.5
"The White Helmets",7.5
"Athlete A",7.6
Ludo,7.6
Quincy,7.6
"Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere",7.6
"Tell Me Who I Am",7.6
"The Bleeding Edge",7.6
"The Social Dilemma",7.6
"The Two Popes",7.6
"What Happened, Miss Simone?",7.6
"Yeh Ballet",7.6
Anima,7.7
"Beasts of No Nation",7.7
"Brene Brown: The Call to Courage",7.7
"Crip Camp: A Disability Revolution",7.7
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",7.7
"Justin Timberlake + The Tennessee Kids",7.7
"Road to Roma",7.7
Roma,7.7
"If Anything Happens I Love You",7.8
"The Irishman",7.8
"The Trial of the Chicago 7",7.8
"A Secret Love",7.9
Icarus,7.9
"Marriage Story",7.9
"The Ivory Game",7.9
"Struggle: The Life and Lost Art of Szukaiski",8
"Chasing Coral",8.1
"My Octopus Teacher",8.1
"Rising Phoenix",8.1
13th,8.2
"Disclosure: Trans Lives on Screen",8.2
Klaus,8.2
Seaspiracy,8.2
"The Three Deaths of Marisela Escobedo",8.2
"Cuba and the Cameraman",8.3
"Dancing with the Birds",8.3
"Ben Platt: Live from Radio City Music Hall",8.4
"Taylor Swift: Reputation Stadium Tour",8.4
"Winter on Fire: Ukraine's Fight for Freedom",8.4
"Springsteen on Broadway",8.5
"Emicida: AmarElo - It's All For Yesterday",8.6
"David Attenborough: A Life on Our Planet",9
